daily_volume_usd,day,project,trade_count
2699492.4200808755,2024-01-18,integral,22
40774.88877375876,2024-01-18,kyberswap,30
56801.28976110203,2024-01-18,maverick,80
20242386.81261309,2024-01-18,pancakeswap,661
70842.7343647316,2024-01-18,shibaswap,66
1094947.7441948503,2024-01-18,solidly,64
1550851.1756158646,2024-01-18,sushiswap,835
265409157.99588406,2024-01-18,uniswap,16233
51867.42887503793,2024-01-18,verse_dex,19
8780923.193293119,2024-01-19,0x-API,703
8137299.072192465,2024-01-19,1inch-LOP,676
1556959.9277110943,2024-01-19,airswap,271
346624.1121093508,2024-01-19,balancer,29
5492.705895164005,2024-01-19,bancor,9
346.8179257835763,2024-01-19,carbon_defi,2
292026.22728814447,2024-01-19,clipper,43
81133249.07969584,2024-01-19,curve,817
8001.780589290638,2024-01-19,defiswap,83
7224475.318720319,2024-01-19,dodo,101
1056619.2296094294,2024-01-19,integral,16
28629.16715813296,2024-01-19,kyberswap,23
134213.39090728454,2024-01-19,maverick,93
17631951.279129416,2024-01-19,pancakeswap,685
28000.393796538956,2024-01-19,shibaswap,60
1868407.6782237778,2024-01-19,solidly,136
1203022.305905731,2024-01-19,sushiswap,825
275838954.1112977,2024-01-19,uniswap,19694
16219.653833858018,2024-01-19,verse_dex,26
3621190.3923162213,2024-01-20,0x-API,624
770476.4088997617,2024-01-20,1inch-LOP,198
925260.7829311875,2024-01-20,airswap,370
157876.37133673334,2024-01-20,balancer,25
74.6958075087,2024-01-20,bancor,1
408.5417286367715,2024-01-20,carbon_defi,5
194530.4289735645,2024-01-20,clipper,47
38483153.58625044,2024-01-20,curve,591
3200.7424443635396,2024-01-20,defiswap,53
7507367.397812185,2024-01-20,dodo,108
1755626.2328610425,2024-01-20,integral,14
6400.656753824503,2024-01-20,kyberswap,11
114709.62922790057,2024-01-20,maverick,92
8831934.803013608,2024-01-20,pancakeswap,481
45968.14191194023,2024-01-20,shibaswap,54
562820.0684221371,2024-01-20,solidly,79
573183.4913767937,2024-01-20,sushiswap,697
1.0754685078500656,2024-01-20,swapr,1
106848196.18823636,2024-01-20,uniswap,14920
52058.62410422358,2024-01-20,verse_dex,24
3594506.337855453,2024-01-21,0x-API,627
1344651.525078194,2024-01-21,1inch-LOP,258
696967.9069145249,2024-01-21,airswap,277
211914.9721183244,2024-01-21,balancer,23
418.56656413866796,2024-01-21,bancor,1
1571.1493416480207,2024-01-21,carbon_defi,4
186745.7568286386,2024-01-21,clipper,57
42642398.24232914,2024-01-21,curve,584
1458.27925183502,2024-01-21,defiswap,56
16234523.114426922,2024-01-21,dodo,104
841355.1105178266,2024-01-21,integral,11
13344.74514914406,2024-01-21,kyberswap,26
115216.64785093417,2024-01-21,maverick,95
10674151.57322485,2024-01-21,pancakeswap,475
12583.177485320499,2024-01-21,shibaswap,54
485929.2811245087,2024-01-21,solidly,66
276921.79253822286,2024-01-21,sushiswap,674
122634827.05760364,2024-01-21,uniswap,15239
112434.79031943332,2024-01-21,verse_dex,29
14820636.311316973,2024-01-22,0x-API,871
2683370.869541007,2024-01-22,1inch-LOP,359
2175504.210628227,2024-01-22,airswap,363
298743.1444329733,2024-01-22,balancer,53
5056.585655453018,2024-01-22,bancor,9
2590.437162311513,2024-01-22,carbon_defi,8
211681.02211610114,2024-01-22,clipper,52
95028797.2286987,2024-01-22,curve,1211
14317.957970130235,2024-01-22,defiswap,147
69907073.9291677,2024-01-22,dodo,205
4915731.929801672,2024-01-22,integral,40
8116.101390031756,2024-01-22,kyberswap,17
1313942.3040468674,2024-01-22,maverick,166
26928169.5836394,2024-01-22,pancakeswap,926
83755.14717457844,2024-01-22,shibaswap,95
1354059.1003337924,2024-01-22,solidly,147
1494726.822200255,2024-01-22,sushiswap,841
3.002794745841,2024-01-22,swaap,1
359746812.5407692,2024-01-22,uniswap,21077
11585.258559246788,2024-01-22,verse_dex,28
17038097.970177937,2024-01-23,0x-API,1017
5654354.358738407,2024-01-23,1inch-LOP,485
2703485.151566123,2024-01-23,airswap,476
722426.4911147502,2024-01-23,balancer,87
6073.206637027365,2024-01-23,bancor,11
165402.51197577018,2024-01-23,clipper,46
150505522.90632743,2024-01-23,curve,1687
21889.478854832672,2024-01-23,defiswap,204
39007327.142387494,2024-01-23,dodo,221
3201520.905632224,2024-01-23,integral,46
29375.702553968462,2024-01-23,kyberswap,49
721529.2576917659,2024-01-23,maverick,217
35380448.53914007,2024-01-23,pancakeswap,1056
72116.58807592487,2024-01-23,shibaswap,125
2466480.6985067953,2024-01-23,solidly,193
1551044.101030342,2024-01-23,sushiswap,999
0.72780226372,2024-01-23,swapr,1
470747019.4205622,2024-01-23,uniswap,23860
11748.257009236757,2024-01-23,verse_dex,40
7368646.1500051245,2024-01-24,0x-API,846
2847577.051857652,2024-01-24,1inch-LOP,396
1031691.5390720572,2024-01-24,airswap,351
800787.6919822199,2024-01-24,balancer,51
1684.083946590987,2024-01-24,bancor,6
70.719987346624,2024-01-24,carbon_defi,1
323814.25999335595,2024-01-24,clipper,48
84493382.21823847,2024-01-24,curve,1303
9867.627620067597,2024-01-24,defiswap,151
29755353.88294672,2024-01-24,dodo,230
4416255.826684867,2024-01-24,integral,49
12657.785148210427,2024-01-24,kyberswap,35
2117774.006651639,2024-01-24,maverick,199
10053713.659319345,2024-01-24,pancakeswap,716
25138.373686362575,2024-01-24,shibaswap,90
1174895.195061758,2024-01-24,solidly,166
1391021.3405129062,2024-01-24,sushiswap,864
258273959.53833485,2024-01-24,uniswap,20028
118975.27733048185,2024-01-24,verse_dex,33
12571416.674191142,2024-01-25,0x-API,631
2978774.106110756,2024-01-25,1inch-LOP,396
37397.50288703816,2024-01-25,airswap,45
2220409.6214036616,2024-01-25,balancer,59
507.75048010831006,2024-01-25,bancor,3
365.90790638140004,2024-01-25,carbon_defi,2
398563.4265616537,2024-01-25,clipper,74
71295331.62028486,2024-01-25,curve,856
9195.07743261847,2024-01-25,defiswap,114
48103479.9050506,2024-01-25,dodo,216
1836604.9348470948,2024-01-25,integral,24
